species,palatability,resprouter,Herrera_type,Coca
Adenocarpus telonensis,2,,1,intermedio
Alnus glutinosa,5,,,
Arbutus unedo,5,1,2,2
Calicotome villosa,2,1,1,intermedio
Calluna vulgaris,3,0,1,1
Ceratonia siliqua,2,,2,
Chamaerops humilis,5,1,2,2
Cistus albidus,5,0,1,1
Cistus crispus,5,0,1,1
Cistus ladanifer,,0,1,
Cistus populifolius,4,0,1,1
Cistus salvifolius,4,0,1,1
Crataegus monogyna,3,1,2,intermedio
Cytisus baeticus,1,,1,
Cytisus striatus,,,1,
Cytisus tribracteolatus,,,1,
Cytisus villosus,1,,1,intermedio
Daphne gnidium,6,1,2,2
Dittrichia viscosa,,,,
Dorycnium pentaphyllum,,,,
Erica arborea,5,1,1,1
Erica australis,5,1,1,
Erica scoparia,5,1,1,1
Erica umbellata,4,1,1,1
Fraxinus angustifolia,1,,,
Genista linifolia,4,1,1,intermedio
Genista triacanthos,3,1,1,intermedio
Genista tridens,3,1,1,intermedio
Genista tridentata,2,1,1,intermedio
Halimium atriplicifolium,5,0,1,
Halimium halimifolium,5,0,1,
Hedera helix,2,,2,2
Ilex aquifolium,1,,2,
Laurus nobilis,1,,2,2
Lavandula stoechas,5,0,1,1
Lithodora prostrata,,,1,
Lonicera periclymenum,1,,2,2
Myrtus communis,2,,2,2
Olea europaea,1,,2,2
Phillyrea angustifolia,2,,2,2
Phlomys purpurea,5,0,1,1
Phillyrea latifolia,2,,2,2
Pinus pinaster,5,,,
Pistacia lentiscus,5,1,2,2
Pyrus bourgaeana,4,,2,
Quercus canariensis,3,1,2,2
Quercus lusitanica,3,1,2,2
Quercus coccifera,4,1,2,2
Quercus pyrenaica,3,1,2,2
Quercus suber,3,1,2,2
Rhamnus alaternus,3,1,2,2
Rhododendron ponticum,6,,2,
Rosa pouzinii,2,,,intermedio
Rosa sempervirens,2,,,intermedio
Rubus ulmifolius,2,,,intermedio
Ruscus aculeatus,4,,2,2
Ruscus hypophyllum,4,,2,2
Smilax aspera,1,,2,2
Stauracanthus boivinii,2,1,1,intermedio
Genista linifolia,4,,1,
Teucrium fruticans,2,,1,1
Thymus baeticus,,,1,
Ulex borgiae,3,1,1,intermedio
Viburnum tinus,2,1,2,2
Vitis vinifera,,,2,
