site,town,in_out,shrub_height,altitude,lat,long,aspect
Laurel,Alcala,outside,1,408,36.45063,-5.59266,NA
Laurel,Alcala,inside,2,400,36.4505,-5.59271,NA
Barrancones,Alcala,outside,1.5,422,36.46297,-5.60348,NA
Barrancones,Alcala,inside,1.5,420,36.46303,-5.60359,NA
Hernan_Martin,Alcala,outside,1,523,36.51267,-5.64202,NA
Hernan_Martin,Alcala,inside,3.5,542,36.51212,-5.64219,NA
Teja1,Los_Barrios,outside,1,261,36.27033,-5.56726,NA
Teja1,Los_Barrios,inside,1.5,269,36.27039,-5.5677,NA
Mogea_Luenga2,Los_Barrios,outside,1,250,36.26671,-5.55782,NA
Mogea_Luenga2,Los_Barrios,inside,1,250,36.26671,-5.55782,NA
Cuevas_Hospital2,Los_Barrios,outside,1.5,267,36.25443,-5.50227,NA
Cuevas_Hospital2,Los_Barrios,inside,1.5,268,36.25525,-5.50283,NA
Beatas1,Los_Barrios,outside,1.5,287,36.31604,-5.55105,NA
Beatas1,Los_Barrios,inside,2,286,36.31554,-5.55076,NA
Faldas_Rubio2,Los_Barrios,outside,1,306,36.3265,-5.57854,NA
Faldas_Rubio2,Los_Barrios,inside,2.5,310,36.32642,-5.57834,NA
Faldas_Rubio1,Los_Barrios,outside,1.5,291,36.3269,-5.58958,NA
Faldas_Rubio1,Los_Barrios,inside,1.5,280,36.32633,-5.58896,NA
Laguna_Picacho,Alcala,outside,1.5,394,36.52,-5.65021,NA
Laguna_Picacho,Alcala,inside,2.5,390,36.52032,-5.6499,NA
Aljibe,Jerez,outside,0.5,1039,36.51343,-5.60929,NA
Aljibe,Jerez,inside,2,1039,36.51343,-5.60929,NA
Cucarretes1,Los_Barrios,outside,2,270,36.25948,-5.52477,NA
Cucarretes1,Los_Barrios,inside,2,289,36.25913,-5.52354,NA
Cucarretes2,Los_Barrios,outside,0.5,280,36.26292,-5.53323,NA
Cucarretes2,Los_Barrios,inside,2,280,36.26286,-5.532377,NA
Palancar,Los_Barrios,inside,2.5,191,36.24806,-5.57465,NE
Palancar,Los_Barrios,outside,1.5,184,36.24796,-5.57484,NE
Caheruelas5,Tarifa,inside,1,282,36.0988,-5.58202,E
Caheruelas5,Tarifa,outside,0.5,280,36.098615,-5.52125,E
Puertollano,Tarifa,inside,1.5,169,36.11932,-5.63152,SE
Puertollano,Tarifa,outside,1,158,36.11925,-5.63177,SE
Caheruelas4,Tarifa,inside,0.5,273,36.10454,-5.59774,S
Caheruelas4,Tarifa,outside,0.5,274,36.10456,-5.59787,S
Gavilanes,Jimena,inside,1.5,469,36.43768,-5.55086,SE
Gavilanes,Jimena,outside,1,466,36.43735,-5.55091,SE
Garganta_Honda,Jimena,inside,1.5,485,36.39708,-5.52284,O
Garganta_Honda,Jimena,outside,0.5,477,36.3964,-5.52239,O
Las_Naranjas,Jimena,inside,2,451,36.39825,-5.52487,O
Las_Naranjas,Jimena,outside,0.7,448,36.39813,-5.52524,O
